基金代码,基金简称,最新净值(元),日增长率(%),最新净值日期,是否指数基金,跟踪指数,跟踪指数市盈率,跟踪指数市净率(倍),跟踪指数股息率(%),跟踪指数roe(%),近6个月收益率(%),折扣率
008194.OF,人保中债1-3年国开债a,--,--,--,指数基金,--,--,--,--,--,--,--
008195.OF,人保中债1-3年国开债c,--,--,--,指数基金,--,--,--,--,--,--,--
008196.OF,人保中债1-3年农发债a,--,--,--,指数基金,--,--,--,--,--,--,--
008197.OF,人保中债1-3年农发债c,--,--,--,指数基金,--,--,--,--,--,--,--
008199.OF,华夏粤港澳大湾区创新100etf联接a,1.31,-0.11,20210811.,指数基金,湾创100,19.26,2.93,1.34,8.18,-11.31,0.10
008200.OF,华夏粤港澳大湾区创新100etf联接c,1.31,-0.12,20210811.,指数基金,湾创100,19.26,2.93,1.34,8.18,-11.44,--
008201.OF,银华msci中国a股etf发起式联接c,1.59,-0.20,20210811.,指数基金,MSCI中国A股指数,15.62,1.43,2.33,4.78,-5.11,--
008216.OF,农银彭博利率债指数,1.02,0.01,20210811.,指数基金,--,--,--,--,--,2.42,0.10
008236.OF,招商深证100etf联接a,1.35,-0.53,20210811.,指数基金,深证100,32.92,4.61,1.01,7.63,-8.29,0.10
008237.OF,招商深证100etf联接c,1.37,-0.53,20210811.,指数基金,深证100,32.92,4.61,1.01,7.63,-8.41,--
008238.OF,中泰沪深300指数增强a,1.56,-0.48,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.25,0.10
008239.OF,中泰沪深300指数增强c,1.55,-0.48,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.43,--
008240.OF,东财上证50a,1.32,-0.68,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-11.89,--
008241.OF,东财上证50c,1.31,-0.67,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-12.00,--
008249.OF,工银深证100etf联接a,1.11,-0.57,20210811.,指数基金,深证100,32.92,4.61,1.01,7.63,-12.04,--
008250.OF,工银深证100etf联接c,1.10,-0.56,20210811.,指数基金,深证100,32.92,4.61,1.01,7.63,-12.15,--
008256.OF,南方中债1-5年国开行债券指数a,1.03,0.00,20210811.,指数基金,中债1-5年国开行债券指数(总值)财富指数,--,--,--,--,2.66,--
008257.OF,南方中债1-5年国开行债券指数c,1.02,0.00,20210811.,指数基金,中债1-5年国开行债券指数(总值)财富指数,--,--,--,--,2.61,--
008258.OF,中银证券中证500etf联接a,1.36,0.72,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,7.38,--
008259.OF,中银证券中证500etf联接c,1.35,0.72,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,7.27,--
008279.OF,国泰中证煤炭etf联接a,1.88,5.07,20210811.,指数基金,中证煤炭,11.83,1.20,5.66,5.17,49.60,0.10
008280.OF,国泰中证煤炭etf联接c,1.87,5.06,20210811.,指数基金,中证煤炭,11.83,1.20,5.66,5.17,49.38,--
008281.OF,国泰ces半导体芯片行业etf联接a,2.09,0.62,20210811.,指数基金,中华半导体芯片,118.51,10.95,0.17,5.33,28.21,0.10
008282.OF,国泰ces半导体芯片行业etf联接c,2.08,0.61,20210811.,指数基金,中华半导体芯片,118.51,10.95,0.17,5.33,28.02,--
008291.OF,民生加银沪深300etf联接a,1.39,-0.41,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.68,--
008292.OF,民生加银沪深300etf联接c,1.39,-0.42,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.78,--
008298.OF,华夏中证银行etf联接a,1.16,0.93,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,-6.48,0.10
008299.OF,华夏中证银行etf联接c,1.15,0.92,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,-6.62,--
008326.OF,东财通信a,1.11,-0.10,20210811.,指数基金,通信技术,52.52,5.19,0.48,5.42,8.99,--
008327.OF,东财通信c,1.11,-0.11,20210811.,指数基金,通信技术,52.52,5.19,0.48,5.42,8.85,--
008340.OF,华富中债-安徽省公司信用类债券指数a,1.02,0.02,20210811.,指数基金,中债安徽省公司信用类债券指数(总值)财富指数,--,--,--,--,3.02,--
008341.OF,华富中债-安徽省公司信用类债券指数c,1.02,0.02,20210811.,指数基金,中债安徽省公司信用类债券指数(总值)财富指数,--,--,--,--,2.98,--
008350.OF,富国中债1-5年国开行债券指数a,1.02,0.00,20210811.,指数基金,中债1-5年国开行债券指数(总值)财富指数,--,--,--,--,2.44,--
008351.OF,富国中债1-5年国开行债券指数c,1.02,0.00,20210811.,指数基金,中债1-5年国开行债券指数(总值)财富指数,--,--,--,--,2.27,--
008364.OF,广发中债3-5年政金债指数a,1.03,-0.03,20210811.,指数基金,中债3-5年政策性金融债指数(总值)财富指数,--,--,--,--,2.97,--
008365.OF,广发中债3-5年政金债指数c,1.03,-0.02,20210811.,指数基金,中债3-5年政策性金融债指数(总值)财富指数,--,--,--,--,2.83,--
008379.OF,海富通中债3-5年国开债c,1.02,-0.03,20210618.,指数基金,--,--,--,--,--,0.55,--
008380.OF,海富通中债3-5年国开债a,1.02,-0.03,20210618.,指数基金,--,--,--,--,--,0.54,--
008390.OF,国联安沪深300etf联接a,1.34,-0.45,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.28,0.10
008391.OF,国联安沪深300etf联接c,1.33,-0.45,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.37,--
008396.OF,博时中证500etf联接a,1.44,0.79,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,10.58,0.10
008397.OF,博时中证500etf联接c,1.44,0.79,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,10.41,--
008399.OF,中证科技etf联接a,1.58,-0.51,20210811.,指数基金,科技100,38.59,4.68,0.79,6.61,3.08,0.10
008400.OF,中证科技etf联接c,1.58,-0.51,20210811.,指数基金,科技100,38.59,4.68,0.79,6.61,2.95,--
008402.OF,中泰中证可转债及可交债指数a,1.09,-0.19,20210726.,指数基金,--,--,--,--,--,7.10,0.11
008403.OF,中泰中证可转债及可交债指数c,1.08,-0.25,20210726.,指数基金,--,--,--,--,--,6.89,--
008407.OF,恒生前海沪深港通龙头指数a,1.11,-0.34,20210811.,指数基金,恒生沪深港通细分行业龙头指数,7.44,0.83,2.81,5.77,-17.33,--
008408.OF,恒生前海沪深港通龙头指数c,1.10,-0.34,20210811.,指数基金,恒生沪深港通细分行业龙头指数,7.44,0.83,2.81,5.77,-17.50,--
008435.OF,长信中证转债及可交换债50指数a,1.03,0.25,20210811.,指数基金,中证转债及可交换债50,114.96,5.98,--,2.70,0.45,--
008436.OF,长信中证转债及可交换债50指数c,1.03,0.24,20210811.,指数基金,中证转债及可交换债50,114.96,5.98,--,2.70,0.25,--
008446.OF,融通创业板etf联接a,--,--,--,指数基金,--,--,--,--,--,--,--
008447.OF,融通创业板etf联接c,--,--,--,指数基金,--,--,--,--,--,--,--
008454.OF,中信保诚中债1-3年国开行a,1.01,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,0.16,--
008455.OF,中信保诚中债1-3年国开行c,1.01,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,0.07,--
008482.OF,广发央企80债券指数a,1.03,0.04,20210811.,指数基金,0-4年央企80(全价指数),--,--,--,--,2.57,--
008483.OF,广发央企80债券指数c,1.04,0.03,20210811.,指数基金,0-4年央企80(全价指数),--,--,--,--,2.51,--
008519.OF,中金中证沪港深优选消费50a,1.40,-1.45,20210811.,指数基金,优选消费50,35.96,7.79,0.96,11.89,-19.66,0.10
008520.OF,中金中证沪港深优选消费50c,1.40,-1.45,20210811.,指数基金,优选消费50,35.96,7.79,0.96,11.89,-19.76,--
008549.OF,汇安中债-广西信用债a,1.04,0.01,20210811.,指数基金,中债广西壮族自治区公司信用类债券指数(总值)财富指数,--,--,--,--,2.64,--
008550.OF,汇安中债-广西信用债c,1.03,0.01,20210811.,指数基金,中债广西壮族自治区公司信用类债券指数(总值)财富指数,--,--,--,--,2.39,--
008551.OF,东财医药a,1.43,-1.77,20210811.,指数基金,中证医药,44.12,6.12,0.71,7.61,-8.04,--
008552.OF,东财医药c,1.42,-1.78,20210811.,指数基金,中证医药,44.12,6.12,0.71,7.61,-8.15,--
008574.OF,中加1-3年政金债指数,1.01,0.00,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,2.21,--
008583.OF,西部利得中债1-3年政金债指数a,1.02,-0.01,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,1.84,0.10
008584.OF,西部利得中债1-3年政金债指数c,1.01,-0.01,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,1.21,--
008585.OF,华夏中证人工智能主题etf联接a,0.97,-0.79,20210811.,指数基金,CS人工智,64.91,6.09,0.55,5.09,9.07,0.10
008586.OF,华夏中证人工智能主题etf联接c,0.97,-0.80,20210811.,指数基金,CS人工智,64.91,6.09,0.55,5.09,8.91,--
008590.OF,天弘中证全指证券公司etf发起式联接a,1.17,-0.77,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-2.23,0.10
008591.OF,天弘中证全指证券公司etf发起式联接c,1.16,-0.78,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-2.31,--
008592.OF,天弘沪深300指数增强a,1.52,-0.67,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-5.72,0.10
008593.OF,天弘沪深300指数增强c,1.51,-0.67,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-5.86,--
008598.OF,宝盈中债1-3年国开行债券指数a,1.00,--,20210810.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,--,--
008599.OF,宝盈中债1-3年国开行债券指数c,1.00,--,20210810.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,--,--
008622.OF,鹏华股息龙头etf联接a,1.10,1.17,20210811.,指数基金,股息龙头,8.05,0.88,4.42,5.69,-0.91,--
008623.OF,鹏华股息龙头etf联接c,1.10,1.16,20210811.,指数基金,股息龙头,8.05,0.88,4.42,5.69,-0.90,--
008626.OF,南方0-5年江苏城投债指数a,1.03,0.01,20210811.,指数基金,中债0-5年中高等级江苏省城投类债券指数(总值)财富指数,--,--,--,--,2.47,--
008627.OF,南方0-5年江苏城投债指数c,--,--,--,指数基金,中债0-5年中高等级江苏省城投类债券指数(总值)财富指数,--,--,--,--,--,--
008652.OF,长城中债1-3年政策性金融债指数a,1.02,0.00,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,1.15,--
008653.OF,长城中债1-3年政策性金融债指数c,1.02,0.00,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,1.17,--
008658.OF,农银汇理中证国债及政策性金融债1-5年指数,1.02,-0.02,20210811.,指数基金,国债及政金债1-5,--,--,--,4.01,2.37,--
008677.OF,银华中债1-3年国开行债券指数,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.24,0.10
008679.OF,长盛中债1-3年政金债a,1.04,0.00,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,2.10,0.10
008680.OF,长盛中债1-3年政金债c,1.04,0.00,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,2.05,--
008682.OF,富国中证红利指数增强c,1.16,1.49,20210811.,指数基金,中证红利,6.70,0.71,5.09,5.50,10.15,--
008701.OF,华夏黄金etf联接a,0.88,-0.30,20210811.,指数基金,--,--,--,--,--,-5.20,0.10
008702.OF,华夏黄金etf联接c,0.88,-0.28,20210811.,指数基金,--,--,--,--,--,-5.36,--
008706.OF,建信富时100指数c人民币,0.85,0.09,20210810.,指数基金,富时100,--,--,--,--,11.45,--
008707.OF,建信富时100指数a美元现汇,0.13,0.08,20210810.,指数基金,富时100,--,--,--,--,10.93,--
008708.OF,建信富时100指数c美元现汇,0.13,0.15,20210810.,指数基金,富时100,--,--,--,--,10.68,--
008713.OF,国泰中证全指家用电器etf联接a,1.39,0.17,20210811.,指数基金,家用电器,22.87,4.05,1.54,9.56,-6.77,0.10
008714.OF,国泰中证全指家用电器etf联接c,1.38,0.17,20210811.,指数基金,家用电器,22.87,4.05,1.54,9.56,-6.91,--
008749.OF,富国中证科技50策略etf联接a,1.24,-1.12,20210811.,指数基金,中证科技,61.21,7.31,0.49,6.61,2.97,0.10
008750.OF,富国中证科技50策略etf联接c,1.24,-1.13,20210811.,指数基金,中证科技,61.21,7.31,0.49,6.61,2.76,--
008776.OF,华安沪深300etf联接a,1.12,-0.45,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-8.88,0.10
008777.OF,华安沪深300etf联接c,1.12,-0.45,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-8.97,--
008778.OF,嘉实中证500指数增强a,1.48,0.93,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,7.61,0.10
008779.OF,嘉实中证500指数增强c,1.47,0.93,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,7.40,--
008787.OF,融通中债1-3年国开行债券指数a,1.06,-0.01,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.06,--
008788.OF,融通中债1-3年国开行债券指数c,1.04,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.05,--
008789.OF,海富通中债1-3年国开债c,1.03,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.78,--
008790.OF,海富通中债1-3年国开债a,1.03,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.94,--
008813.OF,招商中债-1-3年国开债a,1.02,0.01,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.39,--
008814.OF,招商中债-1-3年国开债c,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.35,--
008822.OF,景顺长城中债1-3年国开行债券指数a,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.19,--
008823.OF,景顺长城中债1-3年国开行债券指数c,1.04,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.13,--
008827.OF,建信易盛郑商所能源化工期货etf联接a,1.33,1.09,20210811.,指数基金,--,--,--,--,--,24.19,0.10
008828.OF,建信易盛郑商所能源化工期货etf联接c,1.33,1.10,20210811.,指数基金,--,--,--,--,--,23.93,--
008832.OF,海富通中证长三角领先etf联接,1.11,0.36,20210811.,指数基金,中证长三角,13.44,1.45,2.53,5.71,0.06,--
008844.OF,上投摩根中债1-3年国开行债券指数a类,1.00,--,20210809.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,--,--
008845.OF,上投摩根中债1-3年国开行债券指数c类,1.00,--,20210809.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,--,--
008879.OF,国联安中债1-3年政策性金融债,1.01,0.00,20210811.,指数基金,中债1-3年政策性金融债指数(总值)财富指数,--,--,--,--,1.96,--
008887.OF,华夏国证半导体芯片etf联接a,1.52,0.44,20210811.,指数基金,国证芯片,108.35,10.17,0.19,5.38,32.64,0.10
008888.OF,华夏国证半导体芯片etf联接c,1.51,0.44,20210811.,指数基金,国证芯片,108.35,10.17,0.19,5.38,32.45,--
008889.OF,银华中证5g通信主题etf联接a,0.94,-0.90,20210811.,指数基金,5G通信,41.72,5.05,0.70,6.68,7.51,0.10
008898.OF,国寿安保创精选88etf联接a,1.26,0.50,20210811.,指数基金,创精选88,64.71,5.02,0.43,4.19,32.53,0.10
008899.OF,国寿安保创精选88etf联接c,1.26,0.51,20210811.,指数基金,创精选88,64.71,5.02,0.43,4.19,32.32,--
008907.OF,添富中证国企一带一路etf联接a,1.42,0.80,20210811.,指数基金,国企一带一路,17.44,1.57,2.36,4.66,7.44,0.10
008908.OF,添富中证国企一带一路etf联接c,1.42,0.80,20210811.,指数基金,国企一带一路,17.44,1.57,2.36,4.66,7.28,--
008916.OF,华夏中证浙江国资创新发展etf联接a,1.09,0.39,20210811.,指数基金,浙江国资,19.91,2.14,1.67,5.70,-2.21,0.10
008917.OF,华夏中证浙江国资创新发展etf联接c,1.09,0.39,20210811.,指数基金,浙江国资,19.91,2.14,1.67,5.70,-2.35,--
008926.OF,泰康沪深300etf联接a,1.16,-0.50,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.44,0.10
008927.OF,泰康沪深300etf联接c,1.15,-0.51,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.61,--
008928.OF,泰达消费红利指数a,1.62,-0.24,20210811.,指数基金,消费红利,29.39,5.43,2.19,9.64,5.62,0.10
008929.OF,泰达消费红利指数c,1.62,-0.24,20210811.,指数基金,消费红利,29.39,5.43,2.19,9.64,5.49,--
008933.OF,天弘中债1-3年国开债,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)全价指数,--,--,--,--,2.42,0.10
008944.OF,上投摩根msci中国a股etf联接a,1.15,-0.28,20210811.,指数基金,MSCI中国A股指数,15.62,1.43,2.33,4.78,-6.18,0.10
008945.OF,上投摩根msci中国a股etf联接c,1.15,-0.28,20210811.,指数基金,MSCI中国A股指数,15.62,1.43,2.33,4.78,-6.23,--
008956.OF,鹏华中债3-5年国开行债券指数a,1.03,0.01,20210811.,指数基金,中债3-5年国开行债券指数(总值)财富指数,--,--,--,--,3.11,--
008957.OF,鹏华中债3-5年国开行债券指数c,1.04,0.01,20210811.,指数基金,中债3-5年国开行债券指数(总值)财富指数,--,--,--,--,4.38,--
008964.OF,华泰紫金中债1-5年国开债指数a,1.03,0.00,20210811.,指数基金,中债1-5年国开行债券指数(总值)财富指数,--,--,--,--,2.64,--
008965.OF,华泰紫金中债1-5年国开债指数c,1.03,-0.01,20210811.,指数基金,中债1-5年国开行债券指数(总值)财富指数,--,--,--,--,2.59,--
008972.OF,大成恒生综合中小型股指数c,1.16,-0.09,20210811.,指数基金,恒生综合中小型股指数,--,--,2.97,4.43,-7.45,--
008973.OF,大成中华沪深港300指数(lof)c,1.27,-0.24,20210811.,指数基金,中华沪深港300,9.69,0.98,2.55,5.31,-14.19,--
008975.OF,富国中证消费50etf联接a,1.57,-1.47,20210811.,指数基金,CS消费50,32.25,7.62,1.21,12.97,-25.21,0.10
008976.OF,富国中证消费50etf联接c,1.56,-1.48,20210811.,指数基金,CS消费50,32.25,7.62,1.21,12.97,-25.36,--
008986.OF,广发上海金etf联接a,0.86,-0.12,20210811.,指数基金,--,--,--,--,--,-5.50,0.10
008987.OF,广发上海金etf联接c,0.85,-0.13,20210811.,指数基金,--,--,--,--,--,-5.66,--
009004.OF,海富通中证500指数增强c,2.18,0.43,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,4.16,--
009012.OF,平安创业板etf联接a,1.74,-0.84,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,3.31,0.10
009013.OF,平安创业板etf联接c,1.73,-0.84,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,3.10,--
009033.OF,建信上海金etf联接基金a,0.90,-0.13,20210811.,指数基金,--,--,--,--,--,-5.36,0.10
009034.OF,建信上海金etf联接基金c,0.89,-0.13,20210811.,指数基金,--,--,--,--,--,-5.55,--
009035.OF,浦银安盛中债1-3年国开债指数a,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.16,0.10
009036.OF,浦银安盛中债1-3年国开债指数c,1.02,0.00,20210811.,指数基金,中债1-3年国开行债券指数(总值)财富指数,--,--,--,--,2.13,--
009046.OF,东财创业板a,1.89,-0.84,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,4.13,--
009047.OF,东财创业板c,1.88,-0.84,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,4.00,--
009051.OF,易方达中证红利etf联接发起式a,1.18,1.52,20210811.,指数基金,中证红利,6.70,0.71,5.09,5.50,12.38,0.10
009052.OF,易方达中证红利etf联接发起式c,1.18,1.52,20210811.,指数基金,中证红利,6.70,0.71,5.09,5.50,12.33,--
009059.OF,南方沪深300增强a,1.48,-0.15,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-9.98,0.10
009060.OF,南方沪深300增强c,1.47,-0.15,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.16,--
009067.OF,国泰中证新能源汽车etf联接a,2.89,1.66,20210811.,指数基金,CS新能车,215.18,12.65,0.17,3.25,34.20,0.10
